JobType   ArrivalTime    ProcessingTime      
A         566            5                   
D         568            20                  
C         569            6                   
B         570            3                   
A         571            2                   
B         576            4                   
A         577            3                   
D         582            6                   
B         582            3                   
A         583            4                   
C         586            7                   
D         587            21                  
A         589            1                   
B         590            5                   
D         594            2                   
A         594            3                   
C         596            8                   
B         597            4                   
A         600            2                   
D         603            19                  
B         604            4                   
A         606            3                   
C         608            11                  
D         611            17                  
A         611            4                   
B         612            4                   
A         616            1                   
C         617            7                   
A         620            3                   
B         620            6                   
C         621            8                   
D         623            16                  
A         625            3                   
B         627            5                   
A         630            3                   
C         631            7                   
D         634            13                  
B         634            7                   
A         636            5                   
C         636            9                   
D         638            12                  
A         640            3                   
B         641            7                   
D         645            11                  
A         645            2                   
C         647            10                  
B         647            4                   
A         651            5                   
C         654            7                   
B         654            4                   
A         655            1                   
D         658            18                  
A         661            5                   
B         662            5                   
D         664            15                  
A         665            1                   
C         666            12                  
D         670            13                  
A         670            4                   
B         670            5                   
A         674            3                   
C         675            6                   
D         677            8                   
B         677            6                   
A         680            4                   
B         685            4                   
A         685            1                   
C         687            7                   
D         689            19                  
B         691            4                   
A         691            3                   
A         696            1                   
B         699            4                   
A         700            1                   
D         702            4                   
C         703            12                  
B         705            5                   
A         705            3                   
A         710            1                   
B         711            4                   
D         713            2                   
A         714            1                   
A         719            1                   
B         719            2                   
C         719            8                   
A         724            3                   
B         725            5                   
D         726            6                   
C         728            11                  
A         729            1                   
D         733            18                  
B         733            8                   
A         735            1                   
D         741            4                   
B         741            7                   
A         741            3                   
C         745            8                   
A         747            1                   
B         748            5                   
D         752            18                  
A         752            3                   
B         756            5                   
A         757            2                   
D         758            10                  
A         761            3                   
C         762            11                  
D         764            21                  
B         764            8                   
A         766            2                   
C         768            12                  
D         770            16                  
A         771            3                   
B         771            8                   
D         775            15                  
A         775            2                   
C         775            10                  
B         777            3                   
A         779            3                   
B         783            5                   
A         784            2                   
D         788            17                  
B         789            6                   
A         789            2                   
C         789            7                   
A         793            3                   
B         795            5                   
D         796            12                  
A         797            5                   
A         801            5                   
B         802            2                   
C         805            9                   
A         805            2                   
D         807            16                  
B         809            7                   
A         811            1                   
C         814            11                  
A         817            1                   
B         817            7                   
D         820            2                   
A         822            3                   
C         824            10                  
D         825            9                   
B         825            4                   
A         826            3                   
C         830            10                  
A         832            4                   
B         832            6                   
C         834            10                  
A         837            1                   
D         839            2                   
B         839            3                   
A         841            4                   
C         844            7                   
D         846            21                  
A         847            3                   
B         847            2                   
D         850            6                   
A         852            2                   
B         855            2                   
A         857            2                   
D         861            17                  
B         861            7                   
A         862            2                   
C         862            10                  
A         867            1                   
B         869            5                   
D         871            20                  
A         871            2                   
A         875            1                   
B         875            7                   
C         880            11                  
A         881            4                   
B         883            6                   
D         885            13                  
A         885            5                   
C         888            10                  
A         889            5                   
B         889            5                   
A         895            5                   
B         897            3                   
D         898            22                  
A         899            2                   
A         904            5                   
B         905            4                   
C         906            6                   
A         908            4                   
D         909            20                  
B         911            7                   
C         912            7                   
D         913            12                  
A         913            2                   
A         918            4                   
B         918            7                   
C         921            10                  
B         924            7                   
A         924            2                   
D         927            16                  
A         928            2                   
B         930            7                   
A         934            1                   
C         935            10                  
B         938            6                   
A         939            1                   
D         941            21                  
C         942            11                  
A         944            4                   
D         945            4                   
B         946            2                   
A         948            5                   
A         953            2                   
B         953            8                   
C         956            9                   
A         958            2                   
D         959            22                  
B         959            8                   
A         962            4                   
C         966            10                  
B         967            2                   
A         968            1                   
C         971            12                  
D         972            13                  
A         973            2                   
B         974            6                   
D         978            14                  
A         978            2                   
B         980            2                   
A         982            3                   
C         983            9                   
A         987            4                   
B         987            5                   
D         989            4                   
A         993            5                   
B         994            7                   
D         995            3                   
C         996            7                   
A         999            2                   
B         1002           8                   
A         1003           5                   
D         1009           16                  
A         1009           3                   
B         1009           6                   
D         1014           4                   
C         1014           12                  
A         1015           2                   
B         1017           3                   
D         1019           3                   
A         1019           1                   
A         1023           1                   
D         1025           20                  
B         1025           4                   
C         1027           7                   
A         1029           2                   
A         1033           2                   
B         1033           5                   
A         1037           2                   
D         1039           20                  
B         1039           3                   
A         1041           3                   
D         1044           11                  
C         1045           8                   
B         1046           3                   
A         1046           2                   
D         1051           19                  
A         1052           1                   
C         1053           8                   
B         1054           5                   
D         1055           11                  
A         1056           2                   
B         1061           2                   
A         1062           4                   
C         1063           8                   
A         1067           1                   
B         1067           4                   
D         1069           7                   
A         1071           4                   
B         1073           3                   
C         1076           10                  
A         1076           1                   
D         1080           14                  
B         1080           7                   
C         1080           7                   
A         1082           3                   
D         1087           13                  
A         1087           5                   
B         1088           4                   
C         1088           11                  
A         1093           2                   
C         1093           8                   
D         1096           11                  
B         1096           7                   
A         1098           2                   
C         1100           11                  
B         1103           7                   
A         1104           3                   
A         1109           1                   
B         1109           5                   
D         1110           17                  
C         1111           11                  
A         1113           3                   
B         1116           5                   
C         1118           10                  
A         1119           5                   
D         1121           11                  
A         1123           1                   
B         1124           6                   
D         1126           18                  
C         1128           7                   
A         1128           5                   
B         1132           5                   
A         1132           2                   
C         1134           12                  
A         1136           3                   
D         1138           3                   
B         1139           3                   
A         1141           5                   
D         1145           13                  
B         1147           8                   
A         1147           1                   
C         1149           11                  
D         1152           18                  
A         1152           5                   
B         1153           4                   
A         1157           3                   
C         1158           10                  
B         1159           8                   
A         1161           1                   
D         1162           9                   
B         1166           7                   
A         1167           3                   
D         1170           3                   
C         1172           7                   
B         1172           2                   
A         1173           4                   
A         1177           4                   
B         1180           4                   
D         1182           20                  
A         1183           1                   
B         1186           4                   
A         1188           1                   
D         1190           14                  
C         1190           9                   
B         1192           4                   
A         1193           4                   
A         1199           1                   
B         1199           8                   
C         1200           8                   
D         1203           4                   
A         1204           4                   
C         1206           11                  
B         1206           5                   
A         1210           2                   
B         1213           3                   
A         1214           1                   
D         1215           21                  
A         1218           4                   
B         1219           4                   
C         1220           6                   
A         1222           5                   
D         1226           2                   
A         1226           4                   
B         1226           8                   
A         1231           1                   
C         1231           10                  
B         1233           8                   
A         1235           5                   
D         1237           6                   
B         1240           5                   
A         1241           4                   
D         1245           11                  
A         1246           2                   
B         1247           7                   
C         1249           8                   
A         1250           5                   
B         1253           5                   
A         1254           5                   
D         1257           4                   
C         1258           12                  
A         1260           5                   
B         1261           7                   
A         1264           2                   
D         1265           14                  
B         1267           3                   
C         1268           7                   
A         1270           5                   
D         1273           13                  
B         1273           4                   
A         1276           5                   
B         1279           4                   
C         1280           6                   
A         1281           2                   
A         1285           3                   
D         1286           8                   
B         1286           4                   
A         1291           5                   
D         1292           19                  
B         1294           2                   
C         1295           7                   
D         1297           7                   
A         1297           1                   
C         1301           9                   
B         1301           4                   
A         1302           4                   
D         1303           17                  
A         1307           3                   
B         1308           7                   
A         1312           5                   
D         1315           2                   
B         1315           8                   
C         1317           9                   
A         1318           4                   
A         1323           5                   
B         1323           5                   
D         1324           13                  
C         1325           6                   
A         1328           5                   
B         1329           3                   
A         1332           3                   
D         1333           8                   
A         1336           1                   
B         1336           6                   
A         1341           5                   
C         1341           11                  
B         1344           4                   
D         1345           12                  
A         1345           2                   
A         1350           4                   
B         1350           8                   
A         1354           1                   
D         1356           15                  
C         1356           12                  
B         1358           6                   
A         1360           5                   
C         1361           11                  
D         1364           6                   
B         1364           3                   
A         1365           1                   
A         1369           4                   
C         1370           7                   
B         1371           3                   
D         1373           3                   
A         1374           2                   
D         1377           19                  
A         1378           2                   
B         1379           3                   
A         1382           3                   
D         1386           2                   
A         1386           4                   
C         1386           11                  
B         1387           7                   
A         1392           4                   
B         1394           7                   
D         1398           13                  
A         1398           3                   
B         1400           4                   
C         1403           12                  
A         1404           1                   
A         1408           1                   
B         1408           7                   
D         1409           19                  
C         1411           6                   
A         1414           1                   
B         1415           3                   
A         1420           2                   
D         1422           20                  
B         1422           8                   
A         1424           3                   
C         1425           8                   
D         1428           18                  
B         1428           8                   
A         1430           1                   
D         1433           21                  
C         1434           9                   
B         1434           5                   
A         1436           4                   
B         1441           5                   
A         1441           3                   
D         1443           13                  
A         1445           5                   
D         1448           17                  
B         1449           6                   
A         1450           5                   
C         1452           10                  
A         1454           2                   
B         1457           2                   
D         1459           14                  
A         1460           1                   
C         1462           10                  
B         1463           8                   
A         1464           1                   
A         1469           2                   
C         1470           12                  
B         1470           5                   
D         1471           13                  
A         1474           3                   
A         1478           5                   
B         1478           7                   
D         1484           2                   
A         1484           3                   
B         1485           7                   
C         1486           7                   
D         1490           7                   
A         1490           1                   
C         1492           11                  
B         1493           2                   
A         1494           2                   
D         1496           21                  
A         1498           4                   
B         1500           8                   
C         1502           10                  
A         1504           4                   
D         1508           15                  
B         1508           4                   
A         1508           2                   
A         1512           5                   
B         1516           4                   
D         1517           11                  
A         1518           3                   
C         1519           8                   
A         1522           3                   
B         1522           3                   
C         1523           10                  
D         1526           17                  
A         1526           2                   
C         1528           11                  
B         1529           7                   
A         1530           5                   
D         1531           14                  
D         1535           11                  
A         1536           1                   
B         1537           7                   
A         1540           3                   
B         1543           3                   
C         1543           8                   
A         1545           5                   
D         1548           8                   
B         1550           6                   
A         1550           2                   
A         1555           1                   
C         1556           7                   
B         1557           3                   
D         1558           12                  
A         1559           4                   
C         1561           11                  
B         1563           3                   
A         1564           1                   
C         1565           9                   
D         1568           22                  
A         1568           3                   
B         1571           7                   
A         1573           5                   
B         1578           8                   
A         1578           3                   
D         1579           8                   
A         1582           4                   
C         1583           6                   
B         1585           8                   
D         1587           22                  
A         1587           2                   
A         1591           3                   
B         1591           6                   
D         1596           12                  
A         1597           3                   
C         1599           6                   
B         1599           5                   
A         1601           1                   
C         1604           8                   
A         1605           2                   
B         1606           7                   
D         1608           9                   
A         1611           5                   
C         1614           7                   
B         1614           4                   
D         1616           8                   
A         1616           1                   
C         1618           7                   
A         1621           5                   
B         1622           2                   
A         1626           1                   
C         1628           11                  
B         1629           4                   
D         1630           22                  
A         1630           5                   
C         1634           12                  
B         1635           2                   
A         1636           1                   
A         1642           5                   
D         1643           9                   
B         1643           8                   
C         1645           9                   
A         1646           3                   
A         1650           3                   
B         1651           7                   
C         1652           11                  
A         1656           1                   
D         1657           13                  
B         1659           3                   
D         1661           18                  
A         1661           4                   
C         1664           7                   
D         1665           19                  
B         1665           8                   
A         1666           4                   
D         1671           6                   
A         1671           2                   
B         1671           5                   
A         1675           3                   
B         1678           5                   
C         1680           11                  
A         1680           2                   
D         1682           9                   
A         1684           3                   
B         1685           3                   
D         1686           7                   
A         1689           1                   
C         1690           7                   
B         1691           2                   
A         1694           5                   
B         1699           7                   
D         1700           14                  
A         1700           5                   
C         1704           6                   
A         1706           4                   
B         1706           4                   
A         1712           4                   
D         1713           15                  
B         1714           2                   
A         1716           5                   
D         1717           17                  
C         1718           10                  
B         1720           4                   
A         1722           2                   
A         1727           5                   
B         1728           8                   
C         1729           8                   
D         1730           14                  
A         1731           5                   
B         1735           8                   
A         1735           5                   
C         1740           11                  
B         1741           7                   
A         1741           2                   
D         1744           10                  
A         1745           4                   
C         1747           12                  
B         1749           4                   
A         1749           1                   
D         1751           8                   
B         1755           5                   
A         1755           2                   
D         1757           17                  
C         1759           9                   
A         1760           3                   
B         1761           4                   
A         1765           4                   
D         1768           14                  
B         1769           4                   
C         1770           9                   
A         1771           2                   
C         1775           12                  
A         1776           5                   
B         1777           5                   
D         1778           20                  
A         1781           4                   
B         1784           6                   
D         1785           18                  
A         1787           5                   
C         1789           9                   
B         1790           4                   
D         1792           14                  
